GEL;JURUSAN;RATA_UN;gaji;BIAYA;STAT_REG
3;331;5.86;1;2;0
3;331;5.92;1;2;1
3;541;8.03;1;2;0
3;541;6.22;1;3;1
3;541;6.89;2;2;0
3;541;5.66;3;2;0
3;541;6.09;1;2;1
3;541;6.11;3;2;1
3;541;7.32;1;2;1
3;541;4.5;2;2;1
3;561;6.2;2;2;0
3;561;4.13;2;2;0
3;311;6.1;1;2;1
3;561;4.05;2;2;0
3;541;7.56;5;2;0
3;541;7.06;2;2;0
3;561;5.79;1;2;0
3;541;7.46;1;2;0
3;561;4.4;1;2;0
3;541;5.9;1;2;1
3;561;6.53;1;2;0
3;561;7.05;1;2;1
3;541;4.26;1;2;1
3;561;5.42;3;2;1
3;561;7.18;1;2;1
3;541;2.73;1;2;1
3;561;6.32;2;2;1
3;541;4.97;1;2;1
3;321;5.08;1;2;1
3;541;4.29;1;2;1
3;561;5.22;2;2;0
3;541;4.16;1;2;0
3;561;5.69;4;2;0
3;311;6.22;2;2;1
3;561;4.14;1;2;0
3;331;3.92;2;2;1
3;541;8.5;1;2;0
3;561;5.54;1;2;1
3;541;6.13;1;2;0
3;541;5.78;1;2;0
3;561;4.09;1;2;0
3;561;5.55;2;2;1
3;321;6.06;2;2;1
3;561;5.77;2;2;0
3;561;4.84;5;2;0
3;541;6.54;4;2;0
3;561;5.56;2;2;1
3;561;5.13;2;2;1
3;541;3.92;1;3;1
3;541;7.8;1;2;1
3;561;7.5;1;2;1
3;561;4.3;1;3;1
3;541;6.82;1;2;0
3;541;6;1;2;1
3;561;3.45;1;2;1
3;561;5.12;2;2;1
3;311;5.53;1;2;1
3;561;4.98;1;2;0
3;311;7.22;1;2;0
3;541;4.69;1;2;1
3;561;6.21;1;2;0
3;561;7.34;2;2;0
3;561;3.48;2;2;0
3;561;6.71;2;1;0
3;541;6.67;2;2;1
3;321;8.19;1;2;1
3;541;7.23;1;2;1
3;541;8.17;2;2;1
3;541;3.48;3;2;1
3;541;5.74;2;3;1
3;541;3.85;2;2;1
3;541;7.9;2;2;0
3;311;7.28;2;2;1
3;541;6.1;5;2;0
3;541;5.28;1;3;0
3;311;7;1;2;1
3;331;6.54;2;2;1
3;541;5.93;2;2;0
3;311;5.97;3;1;1
3;541;5.69;2;2;0
3;541;5.69;1;2;1
3;311;7.45;2;2;0
3;311;8;1;2;0
3;541;5.82;1;2;1
3;561;5.63;2;1;0
3;561;4.78;2;2;1
3;541;8.49;1;2;1
3;561;3.63;1;2;0
3;541;5.37;1;2;0
3;331;5.28;1;2;1
3;541;4.43;4;2;1
3;541;6.81;1;1;1
3;561;5.83;2;2;1
3;541;7;1;2;0
3;331;5.69;2;2;1
3;541;7.23;2;2;1
3;541;6.3;4;2;1
3;541;4.26;1;2;0
3;541;7.61;1;2;0
3;331;8.38;1;4;1
3;311;8;1;2;1
3;541;6.22;1;2;1
3;561;6.41;1;2;1
3;561;5.99;2;2;1
3;561;5.28;2;2;1
3;541;3.5;2;2;1
3;541;6.72;2;3;1
3;321;2.35;2;2;0
3;331;6.22;1;2;0
3;331;7.97;1;2;1
3;541;5.58;4;2;1
3;541;7.22;2;2;1
3;561;5.26;2;2;1
3;541;6.57;2;2;1
3;541;8.1;1;1;1
3;311;8.01;1;2;1
3;541;4.17;2;2;1
3;311;6.54;3;2;0
3;541;7.72;2;2;1
3;311;5.85;2;2;1
3;541;6.07;3;2;1
3;541;4.76;3;2;1
3;541;4.85;2;2;1
3;541;6.54;3;3;1
3;541;7.78;2;3;1
3;541;7.69;1;2;1
5;541;3.85;1;1;1
5;331;6.54;2;2;0
5;331;6.54;3;3;0
5;311;9.5;3;2;0
5;541;3.43;3;2;0
5;541;5.07;2;1;1
5;541;3.08;2;2;0
5;561;3.08;2;2;0
5;311;6.54;2;1;0
5;331;6.54;2;1;0
5;541;7;1;2;0
5;541;4.86;1;1;1
5;311;5.98;2;1;0
5;541;5.79;2;2;0
5;541;7.5;2;2;0
5;541;3.43;2;3;0
5;541;7.12;1;1;1
